userID,Movie Recommendation 1,Movie Recommendation 2,Movie Recommendation 3,Movie Recommendation 4,Movie Recommendation 5,Movie Recommendation 6,Movie Recommendation 7,Movie Recommendation 8,Movie Recommendation 9,Movie Recommendation 10
404,Mission: Impossible ,North by Northwest ,GoldenEye ,"Rock, The ","Hunt for Red October, The ",Die Hard 2 ,"Matrix, The ",Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
405,American Beauty ,Fargo ,Scarface ,Star Wars: Episode IV - A New Hope ,Aliens ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman 
406,10 Things I Hate About You ,Clueless ,American Beauty ,Beauty and the Beast ,Forrest Gump ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love 
407,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The "
408,"Fantastic Planet, The  ",Time Masters  ,Runaway Brain ,"Mystery of the Third Planet, The  ","Boy and His Dog, A ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
409,Rear Window ,2001: A Space Odyssey ,Apocalypse Now ,Blade Runner ,Chinatown ,True Crime ,Saboteur ,Blow Out ,Just Cause ,Eyes of Laura Mars 
410,"Godfather, The ",Goodfellas ,L.A. Confidential ,Monty Python and the Holy Grail ,Psycho ,American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
411,Aladdin ,"Birdcage, The ",Robin Hood ,Hercules ,Oliver & Company ,"Bug's Life, A ","Jungle Book, The ","Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope 
412,"Manchurian Candidate, The ",Raiders of the Lost Ark  ,Apocalypse Now ,Casablanca ,Get Shorty ,Indiana Jones and the Last Crusade ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  "
413,"Usual Suspects, The ","Matrix, The ",Seven  ,Taxi Driver ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Matrix, The "
414,Modern Times ,Life Is Beautiful  ,"Shining, The ",Psycho ,"Santa Clause, The ",Robin Hood: Men in Tights ,Addams Family Values ,Ace Ventura: When Nature Calls ,Lamerica ,Heidi Fleiss: Hollywood Madam 
415,Back to the Future ,Schindler's List ,Star Wars: Episode V - The Empire Strikes Back ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,Schindler's List ,Star Wars: Episode V - The Empire Strikes Back 
416,American History X ,"Silence of the Lambs, The ","Godfather, The ",One Flew Over the Cuckoo's Nest ,Seven  ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",True Romance ,"Birds, The "
417,Fargo ,Star Wars: Episode IV - A New Hope ,"Usual Suspects, The ",Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express ,Frantic ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
418,American History X ,Saving Private Ryan ,Braveheart ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Longest Day, The ","Matrix, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
419,"Shining, The ","Big Lebowski, The ",Fargo ,Man Bites Dog  ,Freeway ,Get Shorty ,"Few Good Men, A ",Jackie Brown ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
420,"Godfather, The ",Saving Private Ryan ,"Big Lebowski, The ",Fargo ,Good Will Hunting ,"Godfather: Part II, The ",Goodfellas ,Casino ,Dead Man Walking ,Donnie Brasco 
421,Fight Club ,"Godfather, The ","Matrix, The ",American History X ,"Godfather: Part II, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
422,12 Angry Men ,Aladdin ,Fargo ,"Godfather: Part II, The ","Matrix, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
423,Stand by Me ,Easy Rider ,"Man Who Would Be King, The ","Straight Story, The ",Aguirre: The Wrath of God  ,"Matrix, The ","Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
424,Forrest Gump ,Star Wars: Episode IV - A New Hope ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,Shakespeare in Love ,"Graduate, The ",Forrest Gump ,Star Wars: Episode IV - A New Hope ,Schindler's List 
425,Goodfellas ,"Princess Bride, The ",Akira ,Blade Runner ,Casino ,Big Trouble in Little China ,Romancing the Stone ,Clash of the Titans ,"Jewel of the Nile, The ","Four Musketeers, The "
426,Babe ,Crimson Tide ,"Fugitive, The ",Speed ,Toy Story ,Toy Story 2 ,Antz ,"Bug's Life, A ",Puss in Boots  ,"Black Cauldron, The "
427,Reservoir Dogs ,"Shawshank Redemption, The ",Fight Club ,Goodfellas ,"Silence of the Lambs, The ","Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Dead Man Walking 
428,Office Space ,"Shawshank Redemption, The ","Godfather, The ",Good Will Hunting ,"Green Mile, The ","Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino 
429,GoldenEye ,Batman Forever ,Braveheart ,Forrest Gump ,"Fugitive, The ",Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love 
430,Fight Club ,Saving Private Ryan ,"Silence of the Lambs, The ",Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance ,Pulp Fiction ,"Silence of the Lambs, The "
431,Body Heat ,King of New York ,Ransom ,Red Corner ,"Day of the Jackal, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
432,Saving Private Ryan ,Back to the Future ,Indiana Jones and the Last Crusade ,Raiders of the Lost Ark  ,Reservoir Dogs ,Indiana Jones and the Last Crusade ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  "
433,"Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,Dead Man Walking ,"Matrix, The ",Forrest Gump ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
434,Raiders of the Lost Ark  ,"Usual Suspects, The ",Dances with Wolves ,"Lion King, The ",Monty Python's Life of Brian ,Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express ,Frantic 
435,Pulp Fiction ,Goodfellas ,Schindler's List ,"Silence of the Lambs, The ",Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction 
436,Braveheart ,Dances with Wolves ,Disclosure ,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ",Pulp Fiction ,"Matrix, The "
437,"Fugitive, The ","Silence of the Lambs, The ","American President, The ",In the Line of Fire ,Legends of the Fall ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance 
438,Indiana Jones and the Last Crusade ,American Beauty ,"Godfather, The ",L̩on: The Professional   ,Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
439,Fight Club ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Pulp Fiction ,"Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
440,"Clockwork Orange, A ",Delicatessen ,Ghost in the Shell  ,"Matrix, The ","Terminator, The ",Predator ,eXistenZ ,They Live ,Hangar 18 ,"Shawshank Redemption, The "
441,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Superman ,Mad Max ,Tron ,"Shawshank Redemption, The ",Forrest Gump ,"Usual Suspects, The ",American Beauty ,Braveheart 
442,Homeward Bound II: Lost in San Francisco ,Fly Away Home ,Swiss Family Robinson ,Alaska ,"Journey of Natty Gann, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
443,"Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,"Usual Suspects, The ",Schindler's List ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  ,Seven  
444,"Fugitive, The ",Interview with the Vampire: The Vampire Chronicles ,"Lion King, The ",Twelve Monkeys  ,Sleepers ,Cape Fear ,"Dead Zone, The ",Arlington Road ,Red Rock West ,"Matrix, The "
445,"Godfather, The ","Shawshank Redemption, The ",Apocalypse Now ,Goodfellas ,Reservoir Dogs ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
446,Braveheart ,"Shawshank Redemption, The ",Crimson Tide ,Twister ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The "
447,Crimson Tide ,Seven  ,Sleepless in Seattle ,Rear Window ,Saboteur ,True Crime ,Blow Out ,Eyes of Laura Mars ,"Matrix, The ",Fight Club 
448,Army of Darkness ,"Big Lebowski, The ",L̩on: The Professional   ,Aladdin ,Amadeus ,"Killer, The  ",Hard-Boiled  ,Shaft ,"Getaway, The ","Blood In, Blood Out "
449,"Silence of the Lambs, The ","Matrix, The ",Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction ,"Matrix, The "
450,Fight Club ,American History X ,"Big Lebowski, The ",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Fargo ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
451,Dead Man Walking ,Mighty Aphrodite ,Casino ,Donnie Brasco ,Carlito's Way ,Dog Day Afternoon ,Bonnie and Clyde ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
452,Fight Club ,"Game, The ",L̩on: The Professional   ,Pulp Fiction ,"Shawshank Redemption, The ",American History X ,Goodfellas ,Casino ,Dead Man Walking ,Donnie Brasco 
453,Indiana Jones and the Last Crusade ,Raiders of the Lost Ark  ,Ghostbusters  ,"Green Mile, The ",L̩on: The Professional   ,Indiana Jones and the Last Crusade ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  "
454,Fargo ,American History X ,Fight Club ,"Godfather, The ","Graduate, The ",L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
455,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Pulp Fiction ,"Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
456,Broken Arrow ,Executive Decision ,Heat ,Leaving Las Vegas ,"Time to Kill, A ",Die Hard ,"French Connection, The ",Die Hard: With a Vengeance ,Ronin ,Dirty Harry 
457,"Matrix, The ",Star Wars: Episode VI - Return of the Jedi ,Dogma ,Good Will Hunting ,Saving Private Ryan ,"Terminator, The ",Blade Runner ,Predator ,They Live ,Hangar 18 
458,Babe ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ","Matrix, The ","Silence of the Lambs, The "
459,Raiders of the Lost Ark  ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Superman ,Star Wars: Episode I - The Phantom Menace ,Mad Max ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump 
460,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Pulp Fiction ,"Silence of the Lambs, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope ,Schindler's List 
461,Fight Club ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Pulp Fiction ,Fight Club ,"Usual Suspects, The ",Star Wars: Episode V - The Empire Strikes Back 
462,To Kill a Mockingbird ,Ferris Bueller's Day Off ,Groundhog Day ,"Killing Fields, The ",M*A*S*H  ,Boccaccio '70 ,Splash ,"Midsummer Night's Dream, A ",Here Comes Mr. Jordan ,"Bell, Book and Candle "
463,"Shawshank Redemption, The ","Matrix, The ",Fight Club ,"Godfather, The ",American History X ,Goodfellas ,"Green Mile, The ",Casino ,"Shawshank Redemption, The ","Matrix, The "
464,Alien ,Aliens ,2001: A Space Odyssey ,Apollo 13 ,"Fugitive, The ",Stand by Me ,Easy Rider ,"Man Who Would Be King, The ","Straight Story, The ",Aguirre: The Wrath of God  
465,"Boot, Das  ",Star Wars: Episode IV - A New Hope ,Full Metal Jacket ,"Godfather, The ",Jaws ,Stargate ,Superman ,Tron ,Demolition Man ,Waterworld 
466,Schindler's List ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton ,Pulp Fiction ,"Silence of the Lambs, The ","Usual Suspects, The ",Schindler's List 
467,Fight Club ,Good Will Hunting ,Pulp Fiction ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The "
468,"Silence of the Lambs, The ",While You Were Sleeping ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
469,Forrest Gump ,"Full Monty, The ",Beauty and the Beast ,Ed Wood ,Glory ,Train of Life  ,Sleepless in Seattle ,Chasing Amy ,"English Patient, The ",Forrest Gump 
470,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ","Matrix, The ","Silence of the Lambs, The ",Fight Club ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
471,"Shawshank Redemption, The ",Good Will Hunting ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ","Silence of the Lambs, The ","Usual Suspects, The "
472,Fight Club ,Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction ,"Matrix, The ",Forrest Gump 
473,"Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The ","Usual Suspects, The "
474,Army of Darkness ,Carlito's Way ,"Fifth Element, The ",RoboCop ,"Last Starfighter, The ",Die Hard: With a Vengeance ,Dumb & Dumber  ,"Lock, Stock & Two Smoking Barrels ","South Park: Bigger, Longer and Uncut ","Fifth Element, The "
475,Die Hard ,Heat ,Natural Born Killers ,"French Connection, The ",Ronin ,Dirty Harry ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The "
476,Braveheart ,Mr. Holland's Opus ,Philadelphia ,Schindler's List ,"Silence of the Lambs, The ",Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance 
477,Fight Club ,American History X ,GoldenEye ,Good Will Hunting ,"Princess Bride, The ",L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
478,Twelve Monkeys  ,Seconds ,"Stepford Wives, The ",Unforgettable ,Seven  ,Rear Window ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
479,Casablanca ,Star Wars: Episode V - The Empire Strikes Back ,Back to the Future ,Big ,Butch Cassidy and the Sundance Kid ,Stargate ,Superman ,Star Wars: Episode I - The Phantom Menace ,Mad Max ,Tron 
480,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Stripes ,"General, The ",Don't Look Now: We're Being Shot At  ,And the Ship Sails On  ,Catch-22 ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Rear Window ,Casablanca ,"Good, the Bad and the Ugly, The  "
481,Forrest Gump ,"Game, The ",Good Will Hunting ,Saving Private Ryan ,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
482,E.T. the Extra-Terrestrial ,Indiana Jones and the Last Crusade ,Star Wars: Episode V - The Empire Strikes Back ,Terminator 2: Judgment Day ,Braveheart ,Star Wars: Episode VI - Return of the Jedi ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode I - The Phantom Menace ,Mad Max ,Tron 
483,Ferris Bueller's Day Off ,Goodfellas ,Office Space ,Reservoir Dogs ,Rocky ,Dead Man Walking ,Donnie Brasco ,Bonnie and Clyde ,Dog Day Afternoon ,"Silence of the Lambs, The "
484,Pretty Woman ,Cruel Intentions ,"Godfather, The ",Good Will Hunting ,Mary Poppins ,"Godfather: Part II, The ","Green Mile, The ",Casino ,Dead Man Walking ,Donnie Brasco 
485,"Shawshank Redemption, The ","Firm, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
486,Dances with Wolves ,True Grit ,Lonesome Dove ,Ride the High Country ,Quigley Down Under ,Return to Snowy River  ,"Matrix, The ",Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
487,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,Pulp Fiction ,Forrest Gump ,"Usual Suspects, The ",Schindler's List ,Star Wars: Episode V - The Empire Strikes Back 
488,Fight Club ,"Godfather, The ","Godfather: Part II, The ",Star Wars: Episode IV - A New Hope ,Back to the Future ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
489,12 Angry Men ,Being John Malkovich ,"Godfather, The ","Princess Bride, The ",Schindler's List ,Full Metal Jacket ,Platoon ,Glory ,Patton ,"Killing Fields, The "
490,Life Is Beautiful  ,"Big Lebowski, The ",Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,"Lock, Stock & Two Smoking Barrels ","Shawshank Redemption, The ","Usual Suspects, The "
491,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The "
492,Minnie and Moskowitz ,Double Impact ,"Hunted, The ",Once Upon a Time in China III  ,Only the Strong ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
493,Die Hard ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Tron ,Demolition Man ,Star Trek III: The Search for Spock ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump 
494,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The ","Longest Day, The ","Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
495,Pulp Fiction ,American History X ,"Clockwork Orange, A ",Fargo ,"Green Mile, The ",Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
496,Fight Club ,Schindler's List ,"Shawshank Redemption, The ",Good Will Hunting ,One Flew Over the Cuckoo's Nest ,American History X ,Goodfellas ,"Green Mile, The ",Casino ,Dead Man Walking 
497,Forrest Gump ,Pulp Fiction ,Seven  ,Man Bites Dog  ,Freeway ,Trainspotting ,Get Shorty ,"Lock, Stock & Two Smoking Barrels ",Pulp Fiction ,Forrest Gump 
498,Star Trek: Generations ,Beauty and the Beast ,Die Hard: With a Vengeance ,Cinderella ,"Nightmare Before Christmas, The ",Fantasia ,Pinocchio ,Peter Pan ,"Matrix, The ","Silence of the Lambs, The "
499,Pulp Fiction ,American Beauty ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,"Silence of the Lambs, The ",Braveheart ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
500,Fight Club ,Saving Private Ryan ,"Truman Show, The ",American History X ,Austin Powers: International Man of Mystery ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
501,"Rock, The ",Fargo ,Mighty Aphrodite ,Mission: Impossible ,Phenomenon ,Pulp Fiction ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
502,"Matrix, The ",Schindler's List ,American History X ,Cool Hand Luke ,"Godfather, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
503,"Usual Suspects, The ",American History X ,Seven  ,"Shining, The ",Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express ,Frantic ,"Usual Suspects, The "
504,Annie Hall ,There's Something About Mary ,Dave ,Much Ado About Nothing ,Sixteen Candles ,"Shawshank Redemption, The ","Matrix, The ",Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
505,"Matrix, The ",Pulp Fiction ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Reservoir Dogs ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
506,10 Things I Hate About You ,Beauty and the Beast ,Forrest Gump ,Titanic ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love ,"Shawshank Redemption, The "
507,"Lion King, The ",Anastasia ,Fantasia 2000 ,Dumbo ,Tarzan ,"Secret of NIMH, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Fight Club 
508,"Matrix, The ",Raiders of the Lost Ark  ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
509,Mary Poppins ,Back to the Future ,E.T. the Extra-Terrestrial ,Monty Python's And Now for Something Completely Different ,"Sound of Music, The ",Back to the Future Part II ,Galaxy Quest ,Bill & Ted's Excellent Adventure ,Star Trek IV: The Voyage Home ,"Adventures of Buckaroo Banzai Across the 8th Dimension, The "
510,Pulp Fiction ,"Shawshank Redemption, The ",Star Wars: Episode IV - A New Hope ,12 Angry Men ,2001: A Space Odyssey ,American History X ,"Godfather: Part II, The ","Green Mile, The ",Dead Man Walking ,Carlito's Way 
511,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Pulp Fiction ,"Silence of the Lambs, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
512,Babe ,"Little Princess, A ","Secret Garden, The ",My Dog Skip ,Old Yeller ,Now and Then ,"Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
513,Forrest Gump ,"Godfather, The ","Matrix, The ",Schindler's List ,Seven  ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
514,"League of Their Own, A ",Schindler's List ,Braveheart ,"Shawshank Redemption, The ",2001: A Space Odyssey ,"Godfather, The ",American History X ,"Godfather: Part II, The ","Green Mile, The ",Dead Man Walking 
515,"Matrix, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The ",Star Wars: Episode V - The Empire Strikes Back 
516,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
517,"Princess Bride, The ",Fargo ,Toy Story 2 ,"Usual Suspects, The ",12 Angry Men ,Reservoir Dogs ,Dial M for Murder ,Following ,Basic Instinct ,Murder on the Orient Express 
518,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
519,"Godfather, The ","Godfather: Part II, The ",Goodfellas ,"Green Mile, The ",Casino ,Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
520,Fight Club ,"South Park: Bigger, Longer and Uncut ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Toy Story ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
521,"Birdcage, The ",Sense and Sensibility ,Star Trek: First Contact ,Toy Story ,Mr. Holland's Opus ,Toy Story 2 ,Antz ,"Bug's Life, A ",Puss in Boots  ,"Black Cauldron, The "
522,Indiana Jones and the Temple of Doom ,Terminator 2: Judgment Day ,Casablanca ,Ghostbusters  ,"Green Mile, The ",Starship Troopers ,"Running Man, The ",Superman II ,"Blood of Heroes, The  ",Death Race 2000 
523,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Bullitt ,Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
524,Forrest Gump ,"Fifth Element, The ","Fish Called Wanda, A ",Groundhog Day ,Pulp Fiction ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
525,"Shining, The ",Big ,E.T. the Extra-Terrestrial ,"Godfather, The ",Pulp Fiction ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Get Shorty 
526,American History X ,"Clockwork Orange, A ","Matrix, The ","Usual Suspects, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Matrix, The "
527,2001: A Space Odyssey ,Braveheart ,"Christmas Story, A ",Close Encounters of the Third Kind ,Forrest Gump ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love 
528,"Shawshank Redemption, The ",Fight Club ,"Godfather, The ",Star Wars: Episode IV - A New Hope ,"Godfather, The ","Godfather: Part II, The ",Casino ,Dead Man Walking ,Donnie Brasco ,"Shawshank Redemption, The "
529,Star Trek: First Contact ,Executive Decision ,"River Wild, The ",Star Trek II: The Wrath of Khan ,Total Recall ,"Road Warrior, The  ","Abyss, The ",You Only Live Twice ,"Shawshank Redemption, The ",Pulp Fiction 
530,Braveheart ,"Net, The ",Aladdin ,Babe ,Mr. Holland's Opus ,Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The "
531,"Matrix, The ","Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
532,Die Hard ,Forrest Gump ,Pulp Fiction ,"Sixth Sense, The ",Star Wars: Episode IV - A New Hope ,Man Bites Dog  ,Freeway ,Trainspotting ,Get Shorty ,"Lock, Stock & Two Smoking Barrels "
533,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Silence of the Lambs, The ","Usual Suspects, The "
534,Braveheart ,Fight Club ,Terminator 2: Judgment Day ,Willy Wonka & the Chocolate Factory ,Desperado ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
535,Animal House ,Tommy Boy ,Caddyshack ,Heathers ,"Hudsucker Proxy, The ","Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
536,Crimson Tide ,"Shawshank Redemption, The ",Speed ,True Lies ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The "
